title,creator,publicationName,coverDate,doi,citedby_count,coverYear
Dysbiosis not observed in Canadian horse with free fecal liquid (FFL) using 16S rRNA sequencing,Wester R.J.,Scientific Reports,2024-12-01,10.1038/s41598-024-63868-1,0,2024
Relationship between ion currents and membrane capacitance in canine ventricular myocytes,Horváth B.,Scientific Reports,2024-12-01,10.1038/s41598-024-61736-6,0,2024
Familial risk for depression is associated with reduced physical activity in young adults: evidence from a wrist-worn actigraphy study,Dell’Acqua C.,Translational Psychiatry,2024-12-01,10.1038/s41398-024-02925-9,0,2024
Effect of swab and surge pressure on the time-dependent wellbore natural fracture development,Kamgue Lenwoue A.R.,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,2024-12-01,10.1007/s40948-024-00793-7,0,2024
Anomalously weak intensity of tropical cyclones striking eastern China over the past two millennia,Yang Y.,npj Climate and Atmospheric Science,2024-12-01,10.1038/s41612-024-00656-8,0,2024
Feline strongyloidiasis: An insight into its global prevalence and transmission cycle,Zhao H.,One Health,2024-12-01,10.1016/j.onehlt.2024.100842,0,2024
An ultra-weak space-time variational formulation for the Schrödinger equation,Hain S.,Journal of Complexity,2024-12-01,10.1016/j.jco.2024.101868,0,2024
Metabolomic insights into pulmonary fibrosis: a mendelian randomization study,Tang W.,BMC Pulmonary Medicine,2024-12-01,10.1186/s12890-024-03079-6,0,2024
"Exposure to an insecticide formulation alters chemosensory orientation, but not floral scent detection, in buff-tailed bumblebees (Bombus terrestris)",Kárpáti Z.,Scientific Reports,2024-12-01,10.1038/s41598-024-65388-4,0,2024
Forecast accuracy of demand for registered nurses and its determinants in South Korea,Jeong S.,Human Resources for Health,2024-12-01,10.1186/s12960-024-00910-3,0,2024
Synergistic mechanism of electrocatalytic degradation of typical antibiotics by high-entropy MXenes modified metal organic gels catalysts: Theoretical and experimental studies,Liu G.,Separation and Purification Technology,2025-01-01,10.1016/j.seppur.2024.128141,0,2025
Synergistic effects of cognitive frailty and comorbidities on disability: a community-based longitudinal study,Fatin Malek Rivan N.,BMC Geriatrics,2024-12-01,10.1186/s12877-024-05057-3,0,2024
FoldPAthreader: predicting protein folding pathway using a novel folding force field model derived from known protein universe,Zhao K.,Genome Biology,2024-12-01,10.1186/s13059-024-03291-x,0,2024
Fuzzy analytic hierarchy process based generation management for interconnected power system,Varshney T.,Scientific Reports,2024-12-01,10.1038/s41598-024-61524-2,0,2024
A genome-wide association study reveals a polygenic architecture of speech-in-noise deficits in individuals with self-reported normal hearing,Bhatt I.S.,Scientific Reports,2024-12-01,10.1038/s41598-024-63972-2,0,2024
Genetic variations of IL10 and IL6R genes in acute anterior uveitis in Han Chinese,Li L.,BMC Ophthalmology,2024-12-01,10.1186/s12886-024-03495-6,0,2024
Estimating individual trajectories of structural and cognitive decline in mild cognitive impairment for early prediction of progression to dementia of the Alzheimer’s type,Rajagopal S.K.,Scientific Reports,2024-12-01,10.1038/s41598-024-63301-7,0,2024
How likely is it to beat the target at different investment horizons: an approach using compositional data in strategic portfolios,Vega-Gámez F.,Financial Innovation,2024-12-01,10.1186/s40854-023-00601-3,0,2024
Machine learning survival prediction using tumor lipid metabolism genes for osteosarcoma,Li S.,Scientific Reports,2024-12-01,10.1038/s41598-024-63736-y,0,2024
Cardiac diastolic maladaptation is associated with the severity of exercise intolerance in sickle cell anemia patients,d’Humières T.,Scientific Reports,2024-12-01,10.1038/s41598-024-61689-w,0,2024
Deep learning to assess microsatellite instability directly from histopathological whole slide images in endometrial cancer,Wang C.W.,npj Digital Medicine,2024-12-01,10.1038/s41746-024-01131-7,0,2024
Accounting for center-level effects in multicenter randomized controlled trials,Islam S.,Trials,2024-12-01,10.1186/s13063-024-08202-w,0,2024
Assessing the efficacy of 2D and 3D CNN algorithms in OCT-based glaucoma detection,Rasel R.K.,Scientific Reports,2024-12-01,10.1038/s41598-024-62411-6,0,2024
"Sex-specific associations of adolescent motherhood with cognitive function, behavioral problems, and autistic-like traits in offspring and the mediating roles of family conflict and altered brain structure",Ren T.,BMC Medicine,2024-12-01,10.1186/s12916-024-03442-8,0,2024
Research on process parameter optimization of irregular coal face,Li Q.,Scientific Reports,2024-12-01,10.1038/s41598-024-62517-x,0,2024
Modifiable factors influencing attention performance in healthy children: insights from a comprehensive school nutrition study,Ober P.,BMC Public Health,2024-12-01,10.1186/s12889-024-19059-8,0,2024
Kinetics of SARS-CoV-2 infection biomarkers in a household transmission study,Groh A.M.,Scientific Reports,2024-12-01,10.1038/s41598-024-62835-0,0,2024
Surprising and novel multivariate sequential patterns using odds ratio for temporal evolution in healthcare,Casanova I.J.,BMC Medical Informatics and Decision Making,2024-12-01,10.1186/s12911-024-02566-4,0,2024
Motor imagery-based brain–computer interface rehabilitation programs enhance upper extremity performance and cortical activation in stroke patients,Ma Z.Z.,Journal of NeuroEngineering and Rehabilitation,2024-12-01,10.1186/s12984-024-01387-w,0,2024
"Forced vital capacity and body mass index of Xinjiang children and adolescents: an analysis based on seven successive national surveys, 1985–2014",Zhang F.,BMC Public Health,2024-12-01,10.1186/s12889-024-19072-x,0,2024
Establishment of an efficient regeneration system of ‘ZiKui’ tea with hypocotyl as explants,Jin J.,Scientific Reports,2024-12-01,10.1038/s41598-024-62319-1,0,2024
Investigation of multiple nosocomial infections using a semi-Markov multi-state model,Zhong X.,Antimicrobial Resistance and Infection Control,2024-12-01,10.1186/s13756-024-01421-5,0,2024
